Ben Finley,2,1255,0,0
Marquese Williams,2,3845,0,1
Israel Polk,2,5416,0,2
Ahmarian Granger,2,11522,0,2
Max Whisner,2,3976,0,3
Dimitri Madden,2,7364,0,5
Aman Greenwood,2,6163,0,7
Elijah Reed,2,2971,0,7
John McConnell,2,3257,0,9
Austin Mack,3,7744,0,0
Germie Bernard,3,7725,0,2
Josh Cuevas,3,7763,0,3
Geno VanDeMark,3,3701,0,4
Parker Brailsford,3,7768,0,4
Kadyn Proctor,3,219,0,4
L.T. Overton,3,6518,0,5
Domani Jackson,3,7151,0,7
Keon Sabb,3,3605,0,7
Dashawn Jones,3,7638,0,7
King Mack,3,5382,0,7
Kameron Howard,3,12810,0,7
Billy Wiles,188,5990,0,0
Jack Hollifield,188,7624,0,4
Nick Campbell,188,4468,0,5
Quali Conley,4,5744,0,1
Reymello Murphy,4,11510,0,2
Sam Olson,4,5755,0,3
Ryan Stewart,4,5743,0,4
Jarra Anderson,4,3396,0,5
Chase Kennedy,4,7249,0,5
Stanley Ta'ufo'ou,4,7144,0,5
Kevon Darton,4,6200,0,5
Tre Smith,4,5771,0,5
Lance Keneley,4,6132,0,6
Sam Leavitt,5,3708,0,0
Jeff Sims,5,4090,0,0
Alton McCaskill,5,1558,0,1
Raleek Brown,5,7171,0,1
Malik McClain,5,5388,0,2
Markeston Douglas,5,1998,0,3
Chamon Metayer,5,1444,0,3
Cameron Harpole,5,5700,0,3
Jalen Klemm,5,7728,0,4
Josh Atkins,5,2275,0,4
J.P. Deeter,5,5464,0,5
Zac Swanson,5,6478,0,5
Jeff Clark,5,3134,0,5
J'Mond Tapp,5,6489,0,5
Jacob Kongaika,5,325,0,5
Justin Wodtly,5,1460,0,5
Jordan Crook,5,453,0,6
Roman Pitre,5,5488,0,6
Zyrus Fiaseu,5,5715,0,6
Javan Robinson,5,7792,0,7
Laterrance Welch,5,3201,0,7
Kamari Wilson,5,1952,0,7
Cole Martin,5,5216,0,7
Taylen Green,6,843,0,0
