CID0,TOID,CPPO,CPST,CPTX
0,511,0,0,Can -f lead the -J to the -P National Championship?
1,511,0,0,-f has fans in -E talking about the National Championship.
2,511,0,0,-b-" -f looks to shred defenses in -P.
3,511,0,0,-b-" -f has opposing coaches worried about the upcoming season.
4,511,0,0,-f leads a great -b team into -P.
5,511,1,0,Can the -J win it all behind the running of -f?
6,511,1,0,-f must have good year for -J to compete for National title.
7,511,1,0,-f and the -J have their sights set on the -P National title.
8,511,1,0,-f and the -J look to take home the title in -P.
9,511,1,0,-f-" running is crucial to -b-" success this season.
10,511,2,0,-f-" big--play ability could land the -J a National Title.
11,511,2,0,-b-" playmaker -f looks to have a huge season in -P.
12,511,3,0,-f and the -J defense have fans in -E excited in -P.
13,511,3,0,The -B -f leads an aggressive -J defense into -P.
14,511,2,0,Can the athletic -f lead the -J to a National Championship?
15,511,3,0,-f will do everything necessary to bring the title home to -E.
16,511,6,0,-f and -b look to compete for the National title in -P.
17,511,6,0,-b led by -f is our pick to win the -P National Championship.
18,511,6,0,-f should lead the -J to the National Title.
19,511,6,0,-f has -b fans excited about a possible National Championship.
20,511,6,0,Will -f have big enough shoulders to lead -b to a Championship?
21,511,6,0,-f-" ready to carry -b all the way to the National Championship.
22,511,1,1,-f leads a fierce -J rushing attack into -P.
23,511,1,1,The -B -f looks to run wild in -P.
24,511,1,1,-f is ready to explode in -P.
25,511,1,1,-f is looking to run wild en route to the -P National Championship.
26,511,6,1,Look for the -J to pound their way to a championship in -P.
27,511,6,1,-b looks to grind it out in -P.
28,511,6,1,Can any team in America stop this train?
29,511,6,1,-J look to out--muscle opponents in -P.
30,511,6,1,The -# -J are led by a dominant ground attack.
31,511,6,1,-b looks to run all over the competition in -P.
32,511,1,1,-f-" the focal point of a solid -b rushing attack.
33,511,0,2,-f leads an explosive -J passing attack into -P.
34,511,0,2,Can -f keep his receivers happy in -P?
35,511,2,2,-f leads a dangerous group of -b receivers into -P.
36,511,2,2,-f is the number one target in an explosive -J passing game.
37,511,6,2,Fans in -E are excited about the -J aerial attack.
38,511,6,2,-b-" passing attack is the reason we have them winning it all in -P.
39,511,6,2,Can anyone slow down -a-" passing attack?
40,511,6,2,Balls are flying and the season is looking bright in -E.
41,511,6,2,A great passing attack has -J fans thinking championship in -P.
42,511,6,2,-b-" road to the National Championship might just be through the air.
43,511,2,2,-f wants to prove that he's the man to run this vaunted -b offense.
44,511,3,3,Can -f and the -J defense lead them to a championship in -P?
45,511,3,3,-f and -b are getting defensive in -P.
46,511,3,3,-f and -b look to keep opposing offenses in check for -P.
47,511,3,3,-f leads a good -b defense into -P.
48,511,6,3,-b-" defense may lead the -J to a National Championship in -P.
49,511,6,3,Defense is the name of the game for the -J in -P.
50,511,6,3,There may not be a better defense in all of college football.
51,511,6,3,Let's not kid ourselves; the best defense is a good defense.
52,511,6,3,Defense should lead -J to a Championship.
53,511,6,3,-b is out to prove that "Defense wins Championships."
54,511,6,3,-b has the defense this year to go all the way.
55,511,6,3,-b has all the pieces on defense to make a run for the title.
56,511,0,4,-b-" -f relishes being everybody's target in -P.
57,511,1,4,-f carries -b-" -Y--game winning streak into the -P season.
58,511,6,4,The -J look to keep their -Y--game winning streak alive in -P.
59,511,6,4,Can -f and the -J go undefeated again in -P?
60,511,6,4,-b is looking to extend their -Y--game winning streak in -P.
61,511,6,4,The -J are currently riding a -Y--game winning streak.
62,511,6,4,The question is how long can they keep the streak going?
63,511,0,5,-f has the challenge of keeping -b-" -Y--game win streak alive.
