HID0,TOID,CPST,HTXT
1,3,0,Rammer Jammer!
178,88,12,Dome Field Advantage
356,74,28,Duck Hunt
357,76,28,Lions Tamed
358,91,28,Big Orange Crushed!
359,92,28,Horns Hooked
360,94,28,Raiders Roll Over
361,99,28,Beatin' Up the Bruins
362,109,28,Deacons Downed
363,110,28,Huskies Muzzled
364,111,28,Cougars Defanged
365,511,28,Stunned!
366,511,28,-g Shocker!
367,511,28,Conference Clash!
368,511,28,-J In Shock
369,511,28,Upended!
370,511,28,Knocked Down!
371,511,28,Shocked!
372,511,28,-b Surprised!
373,511,28,-J Shaken After Loss
374,511,28,Downed!
375,511,28,-b Falls!
376,511,28,-J Upset!
377,511,29,No Longer Perfect
378,511,29,Humbled!
379,511,29,Defeated!
380,511,29,Undefeated No More
381,511,29,-J Taste Defeat
382,511,29,Bitter First Loss
383,511,29,Sunken Feeling
384,511,30,Heart--Breaker!
385,511,30,Overtime Shocker!
386,511,30,Heartbreak in OT
387,511,30,Big Loss in OT!
388,511,30,Last Minute Madness!
389,511,30,Overtime Meltdown!
390,511,31,Hitting the Wall
391,511,31,The Immovable Object
392,511,31,D--FENCE D--STROYS
393,511,31,Smothered!
394,511,31,-J Flattened!
395,511,31,Defense reigns supreme!
396,511,32,Blazing Guns!
397,511,32,Shot Down
398,511,32,Both Barrels!
399,511,32,Shootout With -d!
400,511,32,Ol' Fashion Shootout
401,511,33,-M---L!
402,511,33,Shooting Blanks?
403,511,33,Blanked!
404,511,33,-J Stall
405,511,33,Power Outage
406,511,33,Handcuffed!
407,511,33,O--For--Everything
408,511,33,SHUTOUT!
409,511,34,How?
410,511,34,Monumental Meltdown
411,511,34,-J Choke!
412,511,34,Complete Collapse
413,511,35,Stomach Punch!
414,511,35,Whodathunkit?
415,511,35,Nightmare in -E
416,511,35,What Happened?
417,511,35,Smothered!
418,511,35,Stifled!
419,3,36,Tides Turned!
420,511,36,So Close!
421,511,36,Lost by an Eyelash
422,511,36,Tough Loss
423,511,36,Cardiac Arrest!
424,511,36,Heart Stopper!
425,511,36,Painful Loss
426,511,37,Over--Rated!
427,511,37,Ready for Prime Time?
428,511,37,Ouch!
429,511,37,Slam Dunked!
430,511,37,Wilting Violets
431,511,37,Knocked Around!
432,511,38,Gut Shot
433,511,38,A Mule Kicking!
434,511,38,Out to the Woodshed
435,511,38,That's Gotta Hurt
436,511,38,-J Spanked
437,511,38,Beat Down!
438,511,39,Tough Trip
439,511,39,Broken Hopes
440,511,39,-J Humbled
441,511,39,Who's Laughing Now?
442,511,39,Road Woes
443,27,40,Long Day in the Swamp
444,76,40,Not--So--Happy Valley
445,88,40,No Home Cookin'
446,91,40,Rough Day on Rocky Top
447,91,40,Rude Guests
448,511,40,House Broken
449,511,40,A Graveyard
450,511,40,Backyard B--B--Qed
451,511,40,Homefield Humiliation
452,511,40,Home Unsweet Home
453,511,41,On the Wrong Foot?
454,511,41,Stale Performance
455,511,41,Slow Out of the Gates
456,511,41,-J Survive
457,511,41,Close Call!
458,511,41,Growing Pains
459,511,42,Close Shave
460,511,42,Conference Champs!
461,511,42,Narrow Champions
462,511,42,-J Take It All!
463,511,42,Close Call
464,511,42,Numero Uno!
465,511,43,No Cigar
466,511,43,Better Luck Next Time
467,511,43,Escape Artists
468,511,44,Off on the Right Foot
469,511,44,New Beginning
470,511,44,Great Start
471,511,44,Blastoff!
472,511,45,Exalted Leader
473,511,45,Who's the Man?
474,511,45,A Game to Remember
475,511,45,Revenge?
476,511,46,Proud Moment
477,511,46,Big Win!
478,511,46,Yes!
479,511,46,Familiar Faces
480,511,47,Strong Showing
481,511,47,Making a Statement
482,511,47,Thrill of Victory
483,511,48,Simply Amazing
484,511,48,Sweet Revenge!
485,511,48,Miracle Worker
486,511,49,Unwelcome Reunion
487,511,49,That'll Leave a Mark
488,511,49,Old Friend. New Enemy
489,511,50,Scary Reunion
490,511,50,A Bullet Dodged
491,511,50,Narrow Escape
492,511,51,Good Show!
493,511,51,Take That!
494,511,51,Surprise! Surprise!
495,511,52,Thriller!
496,511,52,Too Close for Comfort
497,511,52,Nail--Biter!
498,511,52,Cliff--Hanger!
499,511,53,Scoring Frenzy
500,511,53,Lightin' it Up!
501,511,53,The Defense Rests
502,511,54,Goose Egg!
503,511,54,Blanked!
504,511,54,Unwelcome Return
505,511,55,Clear and Convincing
506,511,55,Domination!
507,511,55,Leaving No Doubt
508,511,55,Cruise Control
509,511,56,Hard Fought Victory
510,511,56,Big D  W
511,511,56,Defensive Battle
512,511,57,Scoring Frenzy
513,511,57,Lightin' it Up!
514,511,57,The Defense Rests
515,511,58,Goose Egg!
516,511,58,Blanked!
517,511,58,Unwelcome Return
518,21,59,Death Rally
519,45,59,Death Rally
520,76,59,Happy Rally
521,511,59,-J Steal One
522,511,59,Incredible!
523,511,59,Rabbit from a Hat
524,511,60,Second Half Magic
525,511,60,Slow Start. Great Finish.
526,511,60,Comeback!
527,511,60,Wake Up Call!
528,511,61,Whew!
529,511,61,Close Call
530,511,61,Just Barely!
531,511,62,Clear and Convincing
532,511,62,Domination!
533,511,62,Leaving No Doubt
179,96,12,Dome Field Advantage
180,198,12,Dome Field Advantage
181,201,12,Dome Field Advantage
182,207,12,Dome Field Advantage
183,511,12,Safe at Home
184,511,12,Kings of Their Castle
185,511,12,Ruling the Roost
186,511,12,Stomping Grounds
187,511,12,Home is Where the Heart is
188,34,13,No Place Like Dome
189,54,13,No Place Like Dome
190,88,13,No Place Like Dome
191,96,13,No Place Like Dome
192,198,13,No Place Like Dome
193,201,13,No Place Like Dome
194,207,13,No Place Like Dome
195,511,13,Safe Haven
196,511,13,No Place Like Home
