PTHA,PSTA,PLEB,PREB,PKAC,PACC,PHED,PSPD,PPOE,PBRE,PEYE,PFSH,PLSH,PMSH,PRSH,PSSH,RATH,PCTH,PAGI,PSKI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PHCL,SPSL,HELM,PHAN,PLHN,PRHN,PSLO,PTTO,PLFP,PTHP,PJMP,PCAR,PKPR,PSTR,PAWR,PDIS,PVIS,PFJS,PPOS,PLWS,PRWS,MRCT,PHGT,PWGT,PSLT
0,47,8,8,4,48,3,53,30,0,0,-1,3,0,3,4,0,36,49,3,46,12,4,8,0,9,0,0,0,0,1,4,4,0,0,1,0,44,11,0,0,4,4,0,0,3,10,10,1,72,19,0
0,48,8,8,0,45,0,38,14,1,1,0,3,1,3,3,0,12,36,4,40,38,0,8,0,7,0,0,1,0,0,5,5,2,0,0,0,30,11,0,32,25,2,1,0,13,10,10,1,76,70,1
0,32,9,9,0,38,0,38,12,0,0,0,2,2,2,2,0,19,40,7,10,0,8,0,0,11,12,0,2,1,0,5,5,0,0,1,0,8,25,0,16,0,4,1,0,1,6,6,0,71,49,1
0,22,0,7,0,0,12,0,6,0,1,4,0,5,0,-1,0,0,0,5,22,0,34,45,1,10,0,2,3,1,0,4,4,0,0,0,0,0,3,0,52,16,3,0,0,8,6,8,0,74,178,0
0,44,0,0,0,37,3,33,14,1,1,0,1,2,1,2,0,22,30,1,44,32,16,19,1,10,25,2,4,0,0,5,5,1,0,0,0,36,22,0,41,20,6,0,0,10,6,6,1,74,66,1
0,34,9,9,0,4,12,0,21,0,1,3,1,4,1,0,0,8,16,7,36,0,40,34,0,11,0,0,5,0,0,1,1,1,0,0,0,0,3,0,44,16,4,0,0,8,5,5,0,75,128,0
0,38,0,0,0,12,2,8,26,1,1,3,0,4,0,0,0,4,19,6,45,4,42,36,0,10,0,0,6,0,0,4,4,0,0,0,0,0,3,0,47,28,4,0,0,8,0,0,1,76,127,2
0,38,0,0,0,36,5,36,12,1,1,-1,1,-1,1,5,0,16,40,5,38,22,0,0,0,1,8,0,7,1,0,4,4,1,0,0,0,44,11,0,16,19,5,1,0,17,6,6,0,72,10,0
0,44,6,6,30,8,8,0,24,1,1,0,0,-1,0,5,0,4,0,4,44,12,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,8,3,8,0,25,1,0,0,19,9,9,0,70,5,0
44,34,9,9,0,34,12,32,6,1,0,-1,0,0,0,4,0,0,29,7,32,0,4,0,0,7,4,0,9,0,0,0,0,0,0,0,45,19,19,0,4,2,3,0,1,0,3,5,0,72,26,2
0,59,0,0,42,0,11,12,10,0,0,0,0,0,0,4,0,0,0,1,58,0,8,8,0,1,0,2,10,1,0,0,0,0,0,1,0,8,3,38,4,16,6,0,0,19,6,6,0,71,21,0
0,40,0,0,0,38,0,30,12,0,1,0,0,1,0,3,0,12,38,4,32,30,0,0,0,9,4,0,11,2,0,4,4,0,0,1,0,34,15,0,25,4,5,0,0,18,6,6,0,73,40,0
0,36,1,2,0,0,0,8,13,0,0,3,0,4,0,0,0,4,8,2,16,0,36,38,0,10,0,4,12,2,0,5,5,1,0,0,0,0,3,0,40,12,2,1,0,8,6,6,0,76,144,2
8,25,0,0,0,36,2,32,16,0,1,0,0,2,0,2,0,8,30,6,28,0,25,28,0,2,12,0,13,2,0,4,4,1,0,0,0,36,15,16,19,8,3,0,0,4,0,0,0,75,70,1
0,32,1,0,0,16,11,0,16,1,1,3,0,3,0,1,0,4,0,2,28,4,34,34,0,9,0,0,14,1,0,3,3,0,0,0,0,0,3,0,44,8,1,0,0,7,6,6,0,76,119,1
