GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
1200,1,6,0,1,5,1
1200,11,16,0,1,5,1
1080,12,17,0,1,4,1
1080,2,7,0,2,5,2
930,5,10,0,2,5,2
1200,13,18,0,2,5,2
1080,3,8,0,3,5,3
930,4,9,0,3,4,3
1080,14,19,0,3,4,3
750,15,20,0,3,5,3
1200,4,2,0,4,5,4
930,5,3,0,4,5,4
1080,9,7,0,4,5,4
750,10,8,0,4,5,4
1200,14,12,0,4,5,4
1080,15,13,0,4,5,4
930,19,17,0,4,5,4
1080,20,18,0,4,4,4
1080,7,1,0,5,5,5
930,8,2,0,5,5,5
930,9,3,0,5,5,5
750,10,4,0,5,5,5
1200,6,5,0,5,5,5
1200,17,11,0,5,5,5
930,18,12,0,5,5,5
1200,19,13,0,5,5,5
750,20,14,0,5,5,5
750,16,15,0,5,5,5
1200,3,1,0,6,5,6
1200,4,5,0,6,5,6
1080,8,6,0,6,5,6
1200,9,10,0,6,5,6
1080,13,11,0,6,5,6
930,14,15,0,6,5,6
1080,18,16,0,6,5,6
930,19,20,0,6,5,6
750,9,1,0,7,5,7
750,6,3,0,7,4,7
750,8,5,0,7,5,7
930,20,12,0,7,5,7
1200,17,14,0,7,5,7
1200,10,2,0,8,5,8
1200,7,4,0,8,5,8
750,19,11,0,8,5,8
1080,16,13,0,8,5,8
1080,18,15,0,8,5,8
1080,2,6,0,9,5,9
930,4,8,0,9,5,9
930,11,20,0,9,5,9
1080,13,17,0,9,4,9
1080,15,19,0,9,5,9
1200,1,10,0,10,5,10
1080,3,7,0,10,5,10
1200,5,9,0,10,5,10
750,12,16,0,10,5,10
930,14,18,0,10,5,10
930,5,1,0,11,5,11
930,2,3,0,11,5,11
1080,10,6,0,11,5,11
930,7,8,0,11,5,11
1200,15,11,0,11,5,11
930,12,13,0,11,5,11
930,20,16,0,11,5,11
930,17,18,0,11,5,11
930,1,8,0,12,5,12
1080,2,9,0,12,5,12
930,3,10,0,12,5,12
930,4,6,0,12,5,12
1200,5,7,0,12,5,12
750,11,18,0,12,5,12
1200,12,19,0,12,5,12
1200,13,20,0,12,5,12
930,14,16,0,12,5,12
1200,15,17,0,12,5,12
930,1,2,0,13,5,13
1200,3,4,0,13,5,13
750,6,7,0,13,5,13
750,8,9,0,13,5,13
1080,11,12,0,13,4,13
1200,13,14,0,13,5,13
1080,16,17,0,13,5,13
750,18,19,0,13,5,13
1200,1,4,0,14,5,14
1200,2,5,0,14,5,14
750,6,9,0,14,5,14
750,7,10,0,14,5,14
1200,11,14,0,14,5,14
750,12,15,0,14,5,14
750,16,19,0,14,5,14
1200,17,20,0,14,5,14
1200,11,1,1,1,5,1
1200,16,6,1,1,5,1
1080,17,7,1,1,5,1
930,12,2,1,2,5,2
1080,15,5,1,2,4,2
1080,18,8,1,2,5,2
1200,13,3,1,3,4,3
750,14,4,1,3,5,3
1200,19,9,1,3,5,3
750,20,10,1,3,5,3
1080,5,1,1,4,5,4
750,2,3,1,4,5,4
930,10,6,1,4,5,4
1200,7,8,1,4,5,4
930,15,11,1,4,5,4
750,12,13,1,4,5,4
750,20,16,1,4,5,4
1200,17,18,1,4,5,4
1080,1,12,1,5,5,5
1080,2,13,1,5,5,5
1080,3,14,1,5,5,5
1200,4,15,1,5,5,5
750,5,11,1,5,5,5
1200,6,17,1,5,5,5
1200,7,18,1,5,5,5
1080,8,19,1,5,5,5
1200,9,20,1,5,5,5
1200,10,16,1,5,5,5
1200,3,1,1,6,5,6
930,4,5,1,6,5,6
1200,8,6,1,6,5,6
1200,9,10,1,6,5,6
1080,13,11,1,6,5,6
1200,14,15,1,6,5,6
1200,18,16,1,6,5,6
750,19,20,1,6,4,6
750,1,14,1,7,5,7
750,3,11,1,7,5,7
1200,5,13,1,7,4,7
1200,7,20,1,7,5,7
1200,9,17,1,7,5,7
1080,2,15,1,8,5,8
930,4,12,1,8,5,8
1200,6,19,1,8,5,8
930,8,16,1,8,5,8
750,10,18,1,8,5,8
750,11,2,1,9,5,9
750,13,4,1,9,5,9
1200,20,6,1,9,5,9
930,17,8,1,9,5,9
1080,19,10,1,9,5,9
1080,15,1,1,10,5,10
1200,12,3,1,10,5,10
930,14,5,1,10,5,10
930,16,7,1,10,5,10
1200,18,9,1,10,5,10
1080,4,2,1,11,5,11
1080,5,3,1,11,5,11
930,9,7,1,11,5,11
930,10,8,1,11,5,11
1080,14,12,1,11,5,11
750,15,13,1,11,5,11
1200,19,17,1,11,5,11
930,20,18,1,11,5,11
1080,13,1,1,12,5,12
750,14,2,1,12,5,12
1200,15,3,1,12,5,12
750,11,4,1,12,5,12
1080,12,5,1,12,5,12
1080,18,6,1,12,4,12
1200,19,7,1,12,4,12
1200,20,8,1,12,5,12
750,16,9,1,12,5,12
930,17,10,1,12,5,12
1200,1,2,1,13,4,13
1200,3,4,1,13,5,13
1080,6,7,1,13,5,13
1200,8,9,1,13,5,13
750,11,12,1,13,5,13
1080,13,14,1,13,5,13
750,16,17,1,13,4,13
750,18,19,1,13,5,13
750,1,4,1,14,5,14
930,2,5,1,14,5,14
1200,6,9,1,14,5,14
750,7,10,1,14,5,14
1080,11,14,1,14,5,14
1200,12,15,1,14,5,14
1080,16,19,1,14,5,14
1080,17,20,1,14,5,14
1080,3,18,2,1,5,1
750,4,19,2,1,5,1
930,7,12,2,2,5,2
1200,8,13,2,2,5,2
1200,1,16,2,3,5,3
1200,2,17,2,3,5,3
1200,5,20,2,3,5,3
1080,6,11,2,3,5,3
930,9,14,2,3,5,3
750,10,15,2,3,5,3
1080,3,1,2,4,5,4
1080,4,5,2,4,5,4
1200,8,6,2,4,5,4
930,9,10,2,4,5,4
1080,13,11,2,4,5,4
930,14,15,2,4,5,4
750,18,16,2,4,5,4
1200,19,20,2,4,5,4
1080,17,1,2,5,5,5
1080,18,2,2,5,5,5
930,19,3,2,5,5,5
1080,20,4,2,5,5,5
1080,16,5,2,5,5,5
930,12,6,2,5,5,5
930,13,7,2,5,5,5
1200,14,8,2,5,5,5
930,15,9,2,5,5,5
930,11,10,2,5,5,5
750,4,2,2,6,5,6
1080,5,3,2,6,5,6
750,9,7,2,6,5,6
1200,10,8,2,6,5,6
1080,14,12,2,6,5,6
750,15,13,2,6,5,6
1200,19,17,2,6,5,6
1200,20,18,2,6,5,6
1200,19,1,2,7,5,7
1200,16,3,2,7,5,7
1200,18,5,2,7,5,7
1080,15,7,2,7,5,7
1200,12,9,2,7,5,7
1200,20,2,2,8,5,8
1080,17,4,2,8,5,8
1200,14,6,2,8,4,8
1080,11,8,2,8,5,8
1080,13,10,2,8,5,8
1200,2,16,2,9,4,9
1080,4,18,2,9,5,9
750,6,15,2,9,5,9
1080,8,12,2,9,5,9
750,10,14,2,9,5,9
1200,1,20,2,10,5,10
930,3,17,2,10,4,10
750,5,19,2,10,5,10
1200,7,11,2,10,4,10
1200,9,13,2,10,5,10
1080,5,1,2,11,4,11
750,2,3,2,11,5,11
750,10,6,2,11,5,11
750,7,8,2,11,5,11
930,15,11,2,11,5,11
750,12,13,2,11,5,11
930,20,16,2,11,5,11
930,17,18,2,11,4,11
750,1,18,2,12,5,12
930,2,19,2,12,5,12
1080,3,20,2,12,5,12
930,4,16,2,12,5,12
1080,5,17,2,12,5,12
1200,6,13,2,12,5,12
930,7,14,2,12,5,12
1200,8,15,2,12,5,12
930,9,11,2,12,4,12
930,10,12,2,12,4,12
1200,1,4,2,13,5,13
1200,2,5,2,13,5,13
1200,6,9,2,13,5,13
750,7,10,2,13,5,13
1080,11,14,2,13,5,13
1200,12,15,2,13,5,13
1200,16,19,2,13,4,13
1080,17,20,2,13,4,13
1200,1,2,2,14,5,14
930,3,4,2,14,5,14
1080,6,7,2,14,5,14
1200,8,9,2,14,5,14
750,11,12,2,14,5,14
1080,13,14,2,14,5,14
930,16,17,2,14,5,14
1200,18,19,2,14,5,14
1200,8,3,3,1,5,1
1200,9,4,3,1,5,1
1200,19,14,3,1,5,1
750,7,2,3,2,5,2
930,10,5,3,2,5,2
1080,18,13,3,2,5,2
750,20,15,3,2,5,2
750,6,1,3,3,4,3
1200,16,11,3,3,5,3
1080,17,12,3,3,5,3
1080,4,1,3,4,5,4
1080,5,2,3,4,5,4
