0,0,1,2,3,4,5,6,7
0,19,16,16,8,8,8,9,16
1,2,1,1,23,23,23,26,1
2,13,12,13,12,13,12,13,12
3,5,4,5,20,20,21,21,4
4,17,17,16,9,8,9,8,16
5,13,12,13,12,13,12,13,12
6,12,13,12,13,12,13,12,13
7,16,17,16,8,9,8,9,17
8,13,12,13,12,13,12,13,12
9,12,13,12,13,12,13,12,13
10,6,7,7,19,18,19,18,6
11,7,8,7,18,17,18,17,8
12,7,7,7,18,18,18,18,7
13,6,7,6,18,19,18,19,7
14,8,8,7,17,17,18,18,7
15,6,7,6,18,19,19,19,6
16,1,1,1,24,24,24,24,1
17,3,3,3,22,22,22,22,3
18,3,3,3,22,22,22,22,3
19,24,24,24,1,1,1,1,24
20,24,24,24,1,1,1,1,24
