PTHA,PSTA,PLEB,PREB,PKAC,PACC,PHED,PSPD,PPOE,PBRE,PEYE,PFSH,PLSH,PMSH,PRSH,PSSH,RATH,PCTH,PAGI,PSKI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PHCL,SPSL,HELM,PHAN,PLHN,PRHN,PSLO,PTTO,PLFP,PTHP,PJMP,PCAR,PKPR,PSTR,PAWR,PDIS,PVIS,PFJS,PPOS,PLWS,PRWS,MRCT,PHGT,PWGT,PSLT
0,19,0,0,1,20,5,25,22,0,0,-1,0,-1,0,4,0,12,21,5,22,3,1,2,0,1,0,0,0,2,0,2,2,0,0,0,0,16,2,0,0,1,6,0,0,3,0,0,1,72,19,1
0,20,11,11,0,17,5,13,26,0,0,1,0,3,0,3,0,3,12,6,18,13,0,2,2,4,0,0,1,1,0,2,2,2,0,0,0,9,2,0,10,7,2,0,0,13,0,0,1,76,70,1
0,10,7,0,0,13,3,13,12,0,1,0,0,2,0,2,0,5,15,6,11,0,2,0,0,7,3,0,2,0,0,2,2,2,0,0,0,2,6,0,4,0,2,1,0,1,8,0,0,71,49,1
0,6,0,0,0,0,3,0,20,0,0,2,0,4,0,1,0,0,0,0,13,0,11,17,1,11,0,2,3,1,0,2,2,0,0,0,0,0,0,0,24,4,4,1,0,8,0,0,0,74,178,1
0,16,11,11,0,13,5,11,22,0,0,0,0,3,0,2,0,6,9,0,20,7,4,5,2,9,7,2,4,0,0,2,2,2,0,0,0,12,5,0,7,4,6,0,0,10,0,0,1,74,66,1
0,11,0,0,0,1,2,0,16,0,0,1,0,5,0,2,0,2,4,6,16,0,14,11,1,10,0,0,5,0,0,2,2,0,0,0,0,0,0,0,16,4,1,0,0,8,5,5,0,75,128,1
0,13,0,0,0,3,7,2,15,0,0,2,0,2,0,1,0,1,5,0,21,1,15,12,0,11,0,2,6,0,0,2,2,2,0,0,0,0,0,0,19,8,0,0,0,8,0,0,1,76,127,1
0,13,11,11,0,12,5,12,15,0,0,-1,0,-1,0,4,0,4,14,5,17,6,0,0,0,11,2,0,7,0,0,2,2,0,0,0,0,16,2,0,4,5,3,0,0,17,0,0,0,72,10,1
0,16,0,0,9,2,5,0,12,0,0,-1,0,-1,0,4,0,1,0,1,20,3,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,2,0,11,0,7,4,0,0,19,5,5,0,70,5,1
16,11,10,10,0,11,3,10,18,0,1,0,0,0,0,3,0,0,8,4,15,0,1,0,0,2,1,0,9,0,0,0,0,2,0,0,17,5,4,0,1,0,5,0,1,0,2,0,0,72,26,1
0,31,0,0,15,0,7,3,9,0,0,-1,0,-1,0,4,0,0,0,1,9,0,2,2,0,2,0,2,10,0,0,0,0,0,0,0,0,2,0,17,1,4,4,0,0,19,0,0,0,71,21,1
0,14,11,11,0,13,5,9,14,0,1,0,0,0,0,3,0,3,13,3,15,9,0,0,0,9,1,0,11,0,0,2,2,0,2,0,0,11,3,0,7,1,2,1,0,17,0,0,0,73,40,1
0,12,0,0,0,0,5,2,11,0,0,3,0,4,0,0,0,1,2,4,12,0,12,13,0,11,0,0,12,0,0,1,1,0,0,0,0,0,0,0,14,3,6,0,0,8,5,5,0,76,144,1
0,14,0,0,0,11,7,6,10,0,0,0,0,4,0,4,0,3,8,1,13,1,4,1,0,9,6,2,13,2,0,2,2,2,0,0,0,5,4,0,5,2,1,0,0,4,5,5,0,75,74,1
0,10,4,4,0,4,2,0,14,0,0,2,0,4,0,4,0,1,0,6,14,1,11,11,0,4,0,0,14,2,0,0,0,2,0,0,0,0,0,0,16,2,1,0,0,7,0,0,0,76,119,1
0,17,0,0,17,1,7,0,17,0,0,0,0,0,0,4,0,0,1,0,19,0,1,0,0,1,0,2,15,0,0,0,0,0,0,0,0,0,0,16,1,7,2,0,0,19,0,0,0,76,41,1
0,13,11,11,0,29,11,26,20,0,0,-1,0,-1,0,4,0,8,19,5,17,0,0,0,0,1,7,0,16,2,0,2,2,0,0,0,0,11,8,0,4,3,0,0,0,1,0,0,1,70,17,0
0,13,11,11,1,18,3,17,17,0,0,-1,0,-1,0,4,0,3,17,6,15,0,2,2,0,11,0,0,17,0,0,2,2,0,2,0,0,16,1,0,2,5,3,0,0,16,5,5,1,71,23,1
0,16,11,0,0,10,14,12,14,0,1,-1,0,-1,0,4,0,6,11,5,18,5,1,1,0,7,2,0,18,0,0,2,2,0,0,0,0,11,2,0,4,2,0,1,0,15,6,6,0,75,24,1
0,16,0,0,0,18,3,13,16,0,0,0,0,2,0,3,0,7,12,5,9,0,0,2,0,1,8,0,19,0,0,2,2,2,2,0,0,9,7,0,5,7,6,1,0,1,4,4,0,70,40,1
0,12,0,0,0,13,0,15,12,0,0,0,0,0,0,4,0,7,13,6,11,2,1,0,0,7,1,0,20,0,0,2,2,0,0,0,0,14,3,0,3,7,5,1,0,3,0,0,0,70,32,1
1,31,0,0,15,3,7,4,9,0,0,0,0,4,0,4,0,1,1,2,17,0,0,1,0,2,0,2,21,0,0,0,0,0,0,0,0,0,0,18,0,5,5,0,0,20,0,0,0,70,66,1
0,12,0,0,0,19,7,22,9,0,0,-1,0,-1,0,4,0,3,15,2,15,0,1,0,0,11,6,2,22,0,0,2,2,2,0,0,0,10,6,0,2,2,1,0,0,1,6,6,0,69,19,1
0,17,0,0,0,8,7,8,14,0,0,0,0,3,0,2,0,4,4,0,12,1,3,5,0,11,5,2,23,0,0,0,0,0,0,0,2,4,6,0,6,4,1,0,0,4,5,5,0,77,82,1
1,13,11,11,0,22,2,26,18,0,0,-1,0,0,0,3,0,10,22,6,12,0,2,0,0,9,0,0,24,2,0,2,2,2,0,0,0,14,2,1,0,0,0,1,0,3,5,5,1,71,4,1
