PLDH,PLDL,PPOS,CAWT,KAWT,TAWT,PBWT,RBWT,ACWT,AGWT,TKWT,INWT,KPWT,SPWT,TPWT,BTWT,CTWT,STWT,JUWT,AWWT
91,43,0,0,0,31,0,0,4,4,0,0,0,12,28,1,0,0,0,20
91,43,1,14,0,0,0,0,15,11,0,0,0,16,0,19,5,8,0,12
81,40,2,10,0,0,6,20,7,9,0,0,0,7,0,8,9,9,0,15
93,42,3,0,0,0,0,0,15,15,0,0,0,15,0,5,27,1,9,13
83,40,4,0,0,0,15,22,5,5,0,0,0,5,0,5,20,7,3,13
96,40,5,0,0,0,30,25,6,3,0,0,0,3,0,0,0,15,0,18
96,40,6,0,0,0,27,30,7,2,0,0,0,3,0,0,0,15,0,16
96,40,7,0,0,0,30,30,5,2,0,0,0,2,0,0,0,15,0,16
96,40,8,0,0,0,27,30,7,2,0,0,0,3,0,0,0,15,0,16
96,40,9,0,0,0,30,25,6,3,0,0,0,3,0,0,0,15,0,18
89,42,10,0,0,0,0,0,15,9,28,0,0,12,0,0,0,23,0,13
89,42,11,0,0,0,0,0,15,9,28,0,0,12,0,0,0,23,0,13
93,40,12,0,0,0,0,0,10,4,34,0,0,5,0,0,0,32,0,15
91,40,13,0,0,0,0,0,16,8,28,0,0,13,0,0,0,15,0,20
95,40,14,0,0,0,0,0,15,7,35,0,0,9,0,0,0,13,0,21
91,40,15,0,0,0,0,0,16,8,28,0,0,13,0,0,0,15,0,20
91,40,16,0,0,0,0,0,17,15,9,0,0,20,0,0,6,3,10,20
89,40,17,0,0,0,0,0,16,10,20,0,0,20,0,0,4,3,7,20
89,40,18,0,0,0,0,0,18,10,24,0,0,18,0,0,0,5,5,20
96,45,19,0,55,0,0,0,0,0,0,0,40,0,0,0,0,0,0,5
97,50,20,0,40,0,0,0,0,0,0,0,55,0,0,0,0,0,0,5
