PTHA,PSTA,PLEB,PREB,PKAC,PACC,PHED,PSPD,PPOE,PBRE,PEYE,PFSH,PLSH,PMSH,PRSH,PSSH,RATH,PCTH,PAGI,PSKI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PHCL,SPSL,HELM,PHAN,PLHN,PRHN,PSLO,PTTO,PLFP,PTHP,PJMP,PCAR,PKPR,PSTR,PAWR,PDIS,PVIS,PFJS,PPOS,PLWS,PRWS,MRCT,PHGT,PWGT,PSLT
0,47,11,11,4,48,7,53,22,1,0,-1,0,0,0,4,0,36,49,1,50,12,4,8,0,1,0,2,0,0,0,2,2,0,0,0,0,44,8,0,0,4,6,1,0,3,0,0,1,72,19,2
0,48,11,11,0,45,2,38,26,1,0,0,0,1,0,3,0,12,36,4,46,38,0,8,0,4,0,0,1,0,0,2,2,0,0,0,0,30,8,0,32,25,2,1,0,13,6,6,1,76,70,2
0,32,11,0,0,38,3,38,12,0,0,0,0,2,0,2,0,19,42,3,34,0,8,0,0,7,12,0,2,0,0,2,2,2,0,0,0,8,22,0,16,0,2,1,0,1,6,6,0,71,49,2
0,22,0,0,0,0,14,0,20,0,1,4,1,5,1,-1,0,0,0,6,38,0,34,45,0,11,0,0,3,1,0,2,2,0,0,0,0,0,0,0,52,16,4,0,0,8,5,5,0,74,178,2
0,44,0,0,0,38,2,34,22,0,0,0,0,2,0,2,0,22,30,3,48,32,16,19,0,4,25,3,4,0,0,2,2,1,0,0,0,36,19,0,32,25,6,0,0,10,6,6,1,74,66,1
0,34,0,0,0,4,7,0,16,1,0,3,0,4,0,0,0,8,16,2,44,0,40,34,0,3,0,2,5,0,0,2,2,0,0,0,0,0,0,0,44,16,1,0,0,8,6,6,0,75,128,2
0,38,0,0,0,12,4,8,15,0,1,3,0,4,0,0,0,4,19,6,49,4,42,36,0,11,0,0,6,1,0,2,2,2,0,0,0,0,0,0,47,28,0,0,0,8,6,6,1,76,127,2
0,38,11,11,0,36,14,36,15,1,1,-1,0,-1,0,5,0,16,40,3,45,22,0,0,0,1,8,0,7,0,0,2,2,0,0,0,0,44,8,0,16,19,3,0,0,17,0,0,0,72,10,2
0,44,10,10,30,8,7,0,12,1,0,0,0,-1,0,5,0,4,0,7,48,12,0,0,0,7,0,4,8,0,0,0,0,0,0,0,0,8,0,34,0,25,4,0,0,19,0,0,0,70,5,2
44,34,8,11,0,34,7,32,18,0,0,-1,0,0,0,4,0,0,28,1,42,0,4,0,0,2,4,4,9,0,0,0,0,0,0,0,45,19,16,0,4,0,5,0,1,0,10,6,0,72,26,2
0,59,0,0,42,0,5,12,9,0,1,0,0,0,0,4,0,0,0,7,30,0,8,8,0,7,0,2,10,2,0,0,0,0,0,0,0,8,0,45,4,16,4,0,0,19,6,6,0,71,21,2
