TGID,CFB-USA,TDNA
1,Air Force Falcons,Air Force
2,Akron Zips,Akron
3,Alabama Crimson Tide,Alabama
4,Arizona Wildcats,Arizona
5,Arizona State Sun Devils,Arizona State
6,Arkansas Razorbacks,Arkansas
7,Arkansas State Indians,Arkansas State
8,USMA Black Knights,Army
9,Auburn Tigers,Auburn
10,Ball State Cardinals,Ball State
11,Baylor Bears,Baylor
12,Boise State Broncos,Boise State
13,Boston College Eagles,Boston College
14,Bowling Green Falcons,Bowling Green
16,Brigham Young Cougars,BYU
17,California Golden Bears,Cal
18,Central Florida Golden Knights,UCF
19,CMU Chippewas,Central Michigan
20,Cincinnati Bearcats,Cincinnati
21,Clemson Tigers,Clemson
22,Colorado Buffaloes,Colorado
23,Colorado State Rams,Colorado State
24,Duke Blue Devils,Duke
25,East Carolina Pirates,ECU
26,EMU Eagles,Eastern Michigan
27,Florida Gators,Florida
28,Florida State Seminoles,Florida State
29,Fresno State Bulldogs,Fresno State
30,Georgia Bulldogs,Georgia
31,Georgia Tech Yellow Jackets,Georgia Tech
32,Hawaii Rainbow Warriors,Hawaii
33,Houston Cougars,Houston
34,Idaho Vandals,Idaho
35,Illinois Fighting Illini,Illinois
36,Indiana Hoosiers,Indiana
37,Iowa Hawkeyes,Iowa
38,Iowa State Cyclones,Iowa State
39,Kansas Jayhawks,Kansas
40,Kansas State Wildcats,Kansas State
41,Kent Golden Flashes,Kent State
42,Kentucky Wildcats,Kentucky
43,Louisiana Tech Bulldogs,Louisiana Tech
44,Louisville Cardinals,Louisville
45,LSU Tigers,LSU
47,Maryland Terrapins,Maryland
48,Memphis Tigers,Memphis
49,Miami Hurricanes,Miami
50,Miami of Ohio Redskins,Miami University
51,Michigan Wolverines,Michigan
52,Michigan State Spartans,Michigan State
54,Minnesota Golden Gophers,Minnesota
55,Mississippi State Bulldogs,Mississippi State
56,Missouri Tigers,Missouri
57,Navy Midshipmen,Navy
58,Nebraska Cornhuskers,Nebraska
59,Nevada Wolfpack,Nevada
60,New Mexico Lobos,New Mexico
61,New Mexico State Aggies,New Mexico State
62,North Carolina Tar Heels,North Carolina
63,N.C. State Wolfpack,NC State
64,North Texas Mean Green,North Texas
65,Northeast LA. Indians,UL Monroe
66,NIU Huskies,Northern Illinois
67,Northwestern Wildcats,Northwestern
68,Notre Dame Fighting Irish,Notre Dame
69,Ohio Bobcats,Ohio
70,Ohio State Buckeyes,Ohio State
71,Oklahoma Sooners,Oklahoma
72,Oklahoma State Cowboys,Oklahoma State
73,Ole Miss Rebels,Ole Miss
74,Oregon Ducks,Oregon
75,Oregon State Beavers,Oregon State
76,Penn State Nittany Lions,Penn State
77,Pittsburgh Panthers,Pittsburgh
78,Purdue Boilermakers,Purdue
79,Rice Owls,Rice
80,Rutgers Scarlet Knights,Rutgers
81,San Diego State Aztecs,San Diego State
82,San Jose State Spartan,San Jose State
83,SMU Mustangs,SMU
84,South Carolina Gamecocks,South Carolina
85,Southern Mississippi Golden Eagles,Southern Miss
86,USL Ragin Cajuns,UL Lafayette
87,Stanford Cardinals,Stanford
88,Syracuse Orangemen,Syracuse
89,TCU Horned Frogs,TCU
90,Temple Owls,Temple
91,Tennessee Volunteers,Tennessee
92,Texas Longhorns,Texas
93,Texas A&M Aggies,Texas A&M
94,Texas Tech Red Raiders,Texas Tech
95,Toledo Rockets,Toledo
96,Tulane Green Wave,Tulane
97,Tulsa Golden Hurricanes,Tulsa
98,UAB Blazers,UAB
99,UCLA Bruins,UCLA
102,USC Trojans,USC
103,Utah Utes,Utah
104,Utah State Aggies,Utah State
105,UTEP Miners,UTEP
106,Vanderbilt Commodores,Vanderbilt
107,Virginia Cavaliers,Virginia
108,Virginia Tech Hokies,Virginia Tech
109,Wake Forest Demon Deacons,Wake Forest
110,Washington Huskies,Washington
111,Washington State Cougars,Washington State
112,West Virginia Mountaineers,West Virginia
113,WMU Broncos,Western Michigan
114,Wisconsin Badgers,Wisconsin
115,Wyoming Cowboys,Wyoming
15,Buffalo Bulls,Buffalo
46,Marshall Thundering Herd,Marshall
53,Mid Tenn State Blue Raiders,Mid Tenn State
100,Uconn Huskies,Connecticut
101,UNLV Runnin Rebels,UNLV
211,Western Kentucky Hill Toppers,Western Kentucky
