GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
1230,12,7,0,1,5,1
1050,12,6,0,3,5,3
1260,7,4,0,3,5,3
780,2,3,0,3,5,3
630,10,11,0,3,5,3
1230,8,1,0,3,5,3
930,9,5,0,3,5,3
1050,2,8,0,4,5,4
690,11,4,0,4,5,4
1080,3,9,0,4,5,4
870,1,7,0,4,5,4
870,5,10,0,4,5,4
870,6,10,0,5,5,5
1230,8,5,0,5,5,5
570,11,2,0,5,5,5
1020,1,9,0,5,3,5
930,4,12,0,5,5,5
600,7,3,0,5,5,5
1170,8,12,0,6,5,6
540,5,4,0,6,5,6
570,1,11,0,6,5,6
1170,10,2,0,6,5,6
810,3,6,0,6,5,6
630,9,7,0,6,5,6
660,10,8,0,7,5,7
900,7,5,0,7,5,7
750,6,1,0,7,5,7
570,3,11,0,7,5,7
600,12,9,0,7,5,7
600,4,2,0,7,5,7
1140,10,1,0,8,4,8
570,5,3,0,8,5,8
1050,2,12,0,8,5,8
1140,4,9,0,8,4,8
630,11,6,0,8,5,8
780,6,8,0,9,5,9
1020,2,7,0,9,5,9
1230,9,11,0,9,5,9
630,3,1,0,9,5,9
870,5,12,0,9,5,9
1260,4,10,0,9,5,9
810,11,8,0,10,5,10
840,1,5,0,10,5,10
780,6,4,0,10,5,10
570,9,2,0,10,5,10
1200,12,10,0,10,5,10
1050,1,2,0,11,5,11
1080,7,8,0,11,5,11
690,3,4,0,12,5,12
600,9,10,0,12,5,12
1080,11,12,0,13,5,13
1050,5,6,0,13,5,13
750,8,3,0,14,5,14
1020,7,6,0,14,5,14
870,8,3,1,3,5,3
690,9,7,1,3,5,3
840,4,12,1,3,5,3
780,10,5,1,3,5,3
540,1,11,1,3,5,3
1260,2,6,1,3,5,3
1110,6,8,1,4,5,4
660,7,3,1,4,4,4
1230,2,4,1,4,4,4
960,11,9,1,4,5,4
900,12,5,1,4,5,4
1020,10,1,1,4,5,4
1230,11,10,1,5,5,5
1110,5,4,1,5,4,5
960,7,1,1,5,5,5
810,3,2,1,5,5,5
1050,12,8,1,5,5,5
1050,6,9,1,5,5,5
1200,11,7,1,6,5,6
750,4,10,1,6,5,6
1230,1,6,1,6,5,6
1050,8,2,1,6,5,6
630,9,3,1,6,5,6
1080,8,1,1,7,5,7
690,3,10,1,7,5,7
840,4,6,1,7,5,7
960,9,12,1,7,5,7
1050,2,5,1,7,5,7
840,3,11,1,8,5,8
600,10,2,1,8,5,8
660,5,9,1,8,5,8
1140,7,4,1,8,5,8
900,1,12,1,8,5,8
1110,5,7,1,9,4,9
600,10,8,1,9,5,9
930,2,9,1,9,5,9
840,6,11,1,9,5,9
630,4,1,1,9,5,9
900,3,12,1,9,5,9
690,9,8,1,10,5,10
1140,7,2,1,10,5,10
1200,1,5,1,10,4,10
720,12,6,1,10,5,10
1080,11,4,1,10,5,10
690,2,1,1,11,5,11
1170,8,7,1,11,5,11
780,4,3,1,12,5,12
990,10,9,1,12,5,12
660,12,11,1,13,5,13
1260,6,5,1,13,5,13
810,12,7,1,14,5,14
870,5,3,1,14,4,14
840,6,10,1,14,5,14
1080,8,11,1,14,5,14
1200,2,3,2,3,5,3
1140,5,10,2,3,4,3
1200,7,4,2,3,5,3
750,1,6,2,3,5,3
870,8,11,2,3,5,3
1170,9,12,2,3,5,3
660,1,7,2,4,5,4
870,12,5,2,4,5,4
780,3,9,2,4,5,4
900,6,11,2,4,3,4
630,4,2,2,4,5,4
1050,10,8,2,4,5,4
660,9,5,2,5,5,5
1200,7,10,2,5,4,5
1110,11,2,2,5,5,5
930,6,12,2,5,5,5
630,3,1,2,5,5,5
810,4,8,2,5,5,5
720,11,9,2,6,5,6
1020,10,1,2,6,5,6
1200,2,7,2,6,5,6
930,8,6,2,6,5,6
840,12,3,2,6,5,6
870,5,4,2,6,5,6
720,6,7,2,7,5,7
1200,2,9,2,7,4,7
780,4,10,2,7,5,7
900,3,5,2,7,5,7
1080,12,8,2,7,5,7
870,11,1,2,7,5,7
1080,10,2,2,8,5,8
720,5,8,2,8,5,8
840,4,12,2,8,5,8
1260,9,6,2,8,5,8
900,7,3,2,8,5,8
900,5,11,2,9,5,9
690,10,3,2,9,5,9
600,2,6,2,9,5,9
1170,12,7,2,9,5,9
780,9,4,2,9,5,9
1110,8,1,2,9,5,9
900,1,5,2,10,5,10
960,8,2,2,10,3,10
540,11,4,2,10,5,10
930,7,9,2,10,5,10
1020,6,10,2,10,5,10
750,1,2,2,11,5,11
1020,7,8,2,11,5,11
870,9,10,2,12,5,12
780,3,4,2,12,5,12
1260,5,6,2,13,5,13
1140,11,12,2,13,5,13
810,3,11,2,14,5,14
630,1,12,2,14,5,14
840,8,10,3,3,5,3
660,12,2,3,3,5,3
840,6,7,3,3,4,3
660,9,4,3,3,5,3
720,1,11,3,3,5,3
630,5,3,3,3,5,3
1080,11,8,3,4,5,4
750,1,5,3,4,4,4
1140,4,7,3,4,5,4
720,6,12,3,4,5,4
1260,10,2,3,4,5,4
780,3,9,3,4,5,4
720,4,6,3,5,5,5
870,11,10,3,5,5,5
1020,2,8,3,5,5,5
930,3,1,3,5,5,5
990,5,9,3,5,5,5
1110,7,12,3,5,5,5
1080,8,3,3,6,5,6
720,10,1,3,6,5,6
1230,11,5,3,6,5,6
630,12,9,3,6,5,6
1140,2,4,3,6,5,6
660,12,8,3,7,5,7
630,11,6,3,7,5,7
870,7,3,3,7,5,7
1110,4,10,3,7,5,7
780,9,1,3,7,5,7
750,2,5,3,7,5,7
780,10,7,3,8,5,8
720,1,6,3,8,5,8
1230,3,12,3,8,5,8
1230,9,11,3,8,5,8
780,5,8,3,8,5,8
1170,8,9,3,9,4,9
1230,1,12,3,9,5,9
990,7,11,3,9,5,9
720,10,3,3,9,4,9
750,6,2,3,9,5,9
